Africa/Abidjan	-9223372036854775808,-968,0,LMT;-1830383032,0,0,GMT
Africa/Accra	-9223372036854775808,-52,0,LMT;-1709337548,0,0,GMT;-1581206400,1200,1,+0020;-1577917200,0,0,GMT;-1556834400,1200,1,+0020;-1546294800,0,0,GMT;-1525298400,1200,1,+0020;-1514758800,0,0,GMT;-1493762400,1200,1,+0020;-1483222800,0,0,GMT;-1462226400,1200,1,+0020;-1451686800,0,0,GMT;-1430604000,1200,1,+0020;-1420064400,0,0,GMT;-1399068000,1200,1,+0020;-1388528400,0,0,GMT;-1367532000,1200,1,+0020;-1356992400,0,0,GMT;-1335996000,1200,1,+0020;-1325456400,0,0,GMT;-1304373600,1200,1,+0020;-1293834000,0,0,GMT;-1272837600,1200,1,+0020;-1262298000,0,0,GMT;-1241301600,1200,1,+0020;-1230762000,0,0,GMT;-1209765600,1200,1,+0020;-1199226000,0,0,GMT;-1178143200,1200,1,+0020;-1167603600,0,0,GMT;-1146607200,1200,1,+0020;-1136067600,0,0,GMT;-1115071200,1200,1,+0020;-1104531600,0,0,GMT;-1083535200,1200,1,+0020;-1072995600,0,0,GMT;-1051912800,1200,1,+0020;-1041373200,0,0,GMT;-1020376800,1200,1,+0020;-1009837200,0,0,GMT;-988840800,1200,1,+0020;-978301200,0,0,GMT;-957304800,1200,1,+0020;-946765200,0,0,GMT;-936309600,1200,1,+0020;-915142800,0,0,GMT;-904773600,1200,1,+0020;-883606800,0,0,GMT;-880329600,1800,0,+0030;-756952200,0,0,GMT;-610149600,1800,1,+0030;-599610600,0,0,GMT;-578613600,1800,1,+0030;-568074600,0,0,GMT;-546991200,1800,1,+0030;-536452200,0,0,GMT;-515455200,1800,1,+0030;-504916200,0,0,GMT;-483919200,1800,1,+0030;-473380200,0,0,GMT;-452383200,1800,1,+0030;-441844200,0,0,GMT
Africa/Addis_Ababa	-9223372036854775808,9288,0,LMT;-3155682888,9320,0,ADMT;-1062210920,10800,0,EAT
Africa/Algiers	-9223372036854775808,732,0,LMT;-2486592732,561,0,PMT;-1855958961,0,0,WET;-1689814800,3600,1,WEST;-1680397200,0,0,WET;-1665363600,3600,1,WEST;-1648342800,0,0,WET;-1635123600,3600,1,WEST;-1616893200,0,0,WET;-1604278800,3600,1,WEST;-1585443600,0,0,WET;-1574038800,3600,1,WEST;-1552266000,0,0,WET;-1539997200,3600,1,WEST;-1531443600,0,0,WET;-956365200,3600,1,WEST;-950486400,0,0,WET;-942012000,3600,0,CET;-812502000,7200,1,CEST;-796262400,3600,0,CET;-781052400,7200,1,CEST;-766630800,3600,0,CET;-733280400,0,0,WET;-439430400,3600,0,CET;-212029200,0,0,WET;41468400,3600,1,WEST;54774000,0,0,WET;231724800,3600,1,WEST;246236400,3600,0,CET;259545600,7200,1,CEST;275274000,3600,0,CET;309740400,0,0,WET;325468800,3600,1,WEST;341802000,0,0,WET;357523200,3600,0,CET
Africa/Asmara	-9223372036854775808,9332,0,LMT;-3155682932,9332,0,AMT;-2524530932,9320,0,ADMT;-1062210920,10800,0,EAT
Africa/Asmera	-9223372036854775808,8836,0,LMT;-1946168836,9000,0,+0230;-1309746600,10800,0,EAT;-1261969200,9000,0,+0230;-1041388200,9900,0,+0245;-865305900,10800,0,EAT
Africa/Bamako	-9223372036854775808,-1920,0,LMT;-1830382080,0,0,GMT;-1131235200,-3600,0,-01;-300841200,0,0,GMT
Africa/Bangui	-9223372036854775808,4460,0,LMT;-1830388460,3600,0,WAT
Africa/Banjul	-9223372036854775808,-3996,0,LMT;-1830380004,-3996,0,BMT;-1159829604,-3600,0,-01;-880930800,0,0,GMT
Africa/Bissau	-9223372036854775808,-3740,0,LMT;-1830380400,-3600,0,-01;157770000,0,0,GMT
Africa/Blantyre	-9223372036854775808,8400,0,LMT;-1844302800,8470,0,ZMT;-1751682070,8460,0,ZMT;-1404440460,7200,0,CAT
Africa/Brazzaville	-9223372036854775808,3668,0,LMT;-1830387668,3600,0,WAT
Africa/Bujumbura	-9223372036854775808,7048,0,LMT;-2524528648,7200,0,CAT
